"session_id","date","start_time","end_time","title","description","recorded","type","skill_level","speakers","tracks","room","room_os","level","cost"
"1039","2026-03-05","3:45 PM","4:45 PM","Data in the world of audio","Are you a data-oriented reporter working at a public radio station? Interested in presenting findings from a data-driven investigation on a podcast or talk show? This session will debunk the common saying heard in many public radio newsrooms that ""numbers and radio don't mix."" This panel will provide practical tips on how to effectively present data-driven reporting in different audio mediums, ranging from long-form podcasts to short-form newscasts. It'll also be a open forum for discussing how reporters have found creative ways to put data journalism on air.","true","Panel","Intermediate","Clayton Guse, WNYC/Gothamist; Amy Qin, WBEZ; Hannah Reale, GBH News","Data analysis, AI","White River D","","1",""
"1063","2026-03-05","3:45 PM","6:00 PM","10 things you didn't know you could do in R","R is great for quick data exploration, visualization and spatial analysis. But did you know you can extract text from images, send customized emails and chat with PDFs all without ever leaving the cozy comfort of R? In this session, we'll zip through a few lesser-known or relatively new R packages for working with large language models, media and databases. Though pitched at intermediate users interested in getting more mileage out of R, this demo will also give beginners a taste of what's possible. As a bonus, we'll invite attendees to complete a short survey sharing some of the unexpected ways they use R in their newsrooms and circulate the results in a tip sheet after the session. This session is good for people with some experience working with R. Laptops will be provided.","false","Hands-on","Intermediate","Amy DiPierro, EdSource","Data analysis, Tools & Tech","204","PC","2",""
"1127","2026-03-05","3:45 PM","4:45 PM","From chaos to narrative: Using R for story discovery in document collections","This session will introduce journalists to using R to ingest large numbers of lawsuits, transcripts, news articles and similar material and to discover story leads through content analysis methods. Journalists will learn the benefits and drawbacks of sentiment analysis, keyword in context text retrievals, language dependency parsing, and extraction of top two- and three-word phrases. These tools in R's tidytext package can help reporters discover themes and tips in large groups of documents that otherwise could do undetected. This session is good for those with some experience using R. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Hands-on","Intermediate","Rob Wells, University of Maryland","Tools & Tech, Story ideas","203","PC","2",""
"1151","2026-03-05","3:45 PM","4:45 PM","React 101: Demystifying arrays, state values and components","Do you use React to create interactives, or are you interested in solidifying your knowledge of component-based javascript libraries? Join this hands-on session to nail down the basics of mapping, filtering, state values, useEffects and other confounding concepts. This session is good for those with some experience using JavaScript. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Hands-on","Intermediate","Aadit Tambe, The Washington Post; Carson TerBush, The Washington Post","Tools & Tech","202","BYO","2",""
"1153","2026-03-05","3:45 PM","4:45 PM","Accessing data on deaths in custody","Thanks to recent FOIA lawsuits and the efforts of organizations like The Marshall Project, The Data Liberation Project, Behind Bars Data Project, and Mapping Police Violence, data on deaths in custody is more accessible than ever. This panel will guide reporters on how to find and use this data to investigate deaths in prisons, jails, and police custody. Attendees will learn about what data is available, what's missing from the data, and how the data can reveal problematic patterns in trends in the local law enforcement agencies.","true","Panel","Beginner","Ethan Corey, Behind Bars Data Project; A.J. Lagoe, KARE-TV; Ivy Scott, The Marshall Project","Beat reporting","White River E","","1",""
"1226","2026-03-05","3:45 PM","4:45 PM","Running large language models locally, on your computer!","Learn how to run powerful language models like Llama, Mistral, and Gemma directly on your own computer. This hands-on session covers the basics of local LLM deployment using LM Studio, hardware requirements (spoiler: you don't need a supercomputer), and practical reporting applications. We'll discuss the trade-offs between local and cloud-based models, explore use cases where local models excel, and demonstrate workflows for integrating LLMs into your reporting toolkit. This session is good for beginners and anyone who wants to learn to run LLMs locally. Laptops will be provided.","false","Hands-on","Beginner","Dhrumil Mehta, Tow Center at Columbia University; Aarushi Sahejpal, American University","Tools & Tech","104","OSX","1",""
"1289","2026-03-05","3:45 PM","4:45 PM","Finding the story: Using DNS search for investigative journalism","Every online interaction begins with a lookup in the Domain Name System (DNS), the backbone of the Internet. As a result, there are digital footprints left behind in the DNS. With the demise of Whois, investigative reporters are looking for new tools to uncover these footprints. Learn how to use DNSDB Scout, a tool to query DNSDB, a historical passive DNS database, to discover previously unknown online connections and gain new information to advance your ongoing and breaking news investigations. Basic knowledge of the Domain Name System (DNS) is helpful, but not required. Attendees will need to bring their own laptop (no tablets) to participate in this class.","false","Hands-on","Intermediate","Daniel Schwalbe, DomainTools","Data analysis, Story ideas","201","BYO","2",""
"1291","2026-03-05","3:45 PM","4:45 PM","Networking for LGBTQ+ journalists","Mix and mingle, meet friends old and new, and build your professional community in this fun and informal networking session. This session is for anyone who identifies as part of the LGBTQIA+ community or as an ally.","false","Networking","Beginner","Laura Moscoso, Investigative Reporters & Editors; Adam Rhodes, IRE & NICAR","Event","White River I","","1",""
"1350","2026-03-05","3:45 PM","4:45 PM","How to turn local data into far more useful tools for your newsroom - and your audiences","Local data like election results, campaign finance, and school budgets can become core infrastructure for your newsroom, helping reporters add context and depth to their stories that no one else will have. And while they support your editorial department, those same data tools can also help your newsroom launch useful and engaging news products. Learn about two such projects underway in Lancaster County, Pa. and at The Texas Tribune and see how they are designing and building core data infrastructure to support stronger local government coverage.","true","Panel","Beginner","AmyJo Brown, War Streets Media; Rob Reid, The Texas Tribune","Public records","White River G","","1",""
"1038","2026-03-05","5:00 PM","6:00 PM","Data investigation frameworks: How to think big picture about what your data will prove","In investigative journalism, data often provides the core evidence to hold powerful actors accountable - proving wrongdoing, harm or scale. But how can you know what data tools and skills you'll need when you start an investigation? This session will break down the basic structure of a data investigation, outlining a few frameworks for how data provides that proof. We won't focus on specific tools - the best tool for the job will be different for every story. Instead, we'll practice how to think about using data to strengthen an investigation, so that you know exactly what questions you want data to answer before you spend time finding and analyzing it. This session will include audience participation and is well-suited to early career journalists or anyone seeking to get more comfortable with thinking and planning for data-based investigative reporting.","true","Demo","Beginner","Adiel Kaplan, Tow-Knight Center for Journalism Futures","Career, Data analysis","White River I","","1",""
